[2025-11-28T23:17:26.584Z] Processing collaborative filtering recommendation request 
[2025-11-28T23:17:37.298Z] Processing collaborative filtering recommendation request 
[2025-11-28T23:17:37.302Z] Processing collaborative filtering recommendation request 
[2025-11-28T23:17:37.303Z] 🚀 Pure collaborative filtering started 
[2025-11-28T23:17:37.304Z] 📥 Input movie slugs: [
  "beau-is-afraid"
]
[2025-11-28T23:17:37.304Z] ⚙️ Config: {
  "numRecommendations": 5,
  "likedBothMoviesBoost": 3,
  "favoritedInputMovieBoost": 5,
  "combinedBoost": 8,
  "favoriteWeight": 2,
  "obscurityBias": 1.5,
  "minInteractionsThreshold": 2
}
[2025-11-28T23:17:37.305Z] INFO: 👥 STEP 1: Finding users who interacted with input movies 
[2025-11-28T23:17:37.310Z] 🚀 Pure collaborative filtering started 
[2025-11-28T23:17:37.310Z] 📥 Input movie slugs: [
  "beau-is-afraid"
]
[2025-11-28T23:17:37.310Z] ⚙️ Config: {
  "numRecommendations": 5,
  "likedBothMoviesBoost": 3,
  "favoritedInputMovieBoost": 5,
  "combinedBoost": 8,
  "favoriteWeight": 2,
  "obscurityBias": 1.5,
  "minInteractionsThreshold": 2
}
[2025-11-28T23:17:37.310Z] INFO: 👥 STEP 1: Finding users who interacted with input movies 
[2025-11-28T23:17:37.389Z] INFO: 👍 200 users liked beau-is-afraid 
[2025-11-28T23:17:37.465Z] INFO: ⭐ 200 users favorited beau-is-afraid 
[2025-11-28T23:17:37.466Z] INFO: 👥 Total users who interacted: 400 
[2025-11-28T23:17:37.466Z] INFO: 📊 STEP 2: Calculating user affinity scores 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 01magid: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 0atly: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 0ct0bergirl: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 0f_tuna: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 0pavel: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 100naziscalps: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 11coll: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 11estroud: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 123urawesome: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 12horses: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 12thvenus: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 1b1faces: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 1imir: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 1mateoz: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 1spunlobster: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 2003skohei: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 20teethinaglass: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.468Z] DEBUG: 👤 28njwhite: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 2chelly2belly: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 2cool4schoolz: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 2kibb: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 2smallchildren: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 2tall2fall: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 35t4v1d4: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 3leo3: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 3llie_bells: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 4riete: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 4rmadio: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 5ftoblerone: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 5ifth: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 666bemma: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 66jupiter: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 6ak: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 7c8: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 8bian: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 8uckl3y: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 90s4ngel: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 999yak0b999: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 99percentsilk: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 _2ccx: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 _absolutely_: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.469Z] DEBUG: 👤 _ahmetemin: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a166443df: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a1emily: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a1exdur0: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a1onsoar3a11o: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a24goth: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a24wh0reee: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a_borrellj: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 a_damn_uno: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaaaaverey: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaaarrrss: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaadrain: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaburto: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaliyahp: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaphill18: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaron_gumboy: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aaronrugg: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abbeju: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abbyandersonsbf: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abcdent: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abigail1100: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abii2022: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 abril7312: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 ace6g: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 acehrs: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 aceynth: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 achilles24: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 achter_de_boom: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 acylchloride: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.470Z] DEBUG: 👤 adamfisher321: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adamkaaa: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adammahfr: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adampolanik: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adamrara: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adamrusso22: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adclown: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 addijane: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 addytayy: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adetoni626: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adrianth: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.471Z] DEBUG: 👤 adribadillo: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 adriftmoon: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 adrnisnt: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aducnhan: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aeywon: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aggylar: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 agrad1: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 agusinvestiga: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 ahmed92kira: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 ahmedhatemhelal: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aidancarter35: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aidanpine: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aieterox: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 airasterfan: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aiyae: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 aizenssword: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 ajbakes1: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 ajciv: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 akatlong: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 akishajj: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 akrobitaille: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 alan_nilsen: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.472Z] DEBUG: 👤 alanbinyasan: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 alanmtzm06: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 alanxdiaz: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 albaniansans: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 albertirijillo: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 albiiiiiin: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 albinisterrific: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 albionn: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 alcachofra: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.473Z] DEBUG: 👤 alcasys: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 aldiniqesad: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 aldo2323: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 ale66cl: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 ale9000: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 ale_perra: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 aledymeww: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alekk_: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alekonvm: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 aleksisv: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alelelli25: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alelunch5: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alenkadoyle: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alessiomusi: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alex2323p: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alex33: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alex6_eats: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alexaarmas: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alexander839: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.476Z] DEBUG: 👤 alexanderhat: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.482Z] DEBUG: 👤 alexandriabitch: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.482Z] DEBUG: 👤 alexapolette: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.482Z] DEBUG: 👤 alexei666: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexfilmz04: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexisluvsa24: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexl5: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexled: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexmustgo: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexo_tan: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexscouch: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexxkister: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alexxx_zl: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alfred_bttnr: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alice985: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 aliceeee33: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alicemerturk: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alicerowden: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 aliens3tiddies: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.483Z] DEBUG: 👤 alienshampoo: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 alijah_blue: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 alisabusu: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 alissaxw: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 alixcrist: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 allie008: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 allwhitecastle: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.484Z] DEBUG: 👤 almiraslley: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 almostshankara: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alofn: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alphrose: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alpt4: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alskom: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alth_ea: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 altijdhardt: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alvarligt: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alwayswithwater: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alyssabmays: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alyssajos: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 alyxalyxandria: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 amalaise: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 amandatenz: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 amaranthh: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 amari3527: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 amarisou: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 ambiguous_evan: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.485Z] DEBUG: 👤 ambivalence6: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.486Z] DEBUG: 👤 ambre_lysz: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.486Z] DEBUG: 👤 ambrioche: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.486Z] DEBUG: 👤 amehdaly: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.486Z] DEBUG: 👤 amirmayko: Favorited 1 inputs -> 5x boost 
[2025-11-28T23:17:37.486Z] DEBUG: 👤 amluga: Favorited 1 inputs -> 5x boost 
