[2025-11-27T04:31:07.911Z] Processing collaborative filtering recommendation request 
[2025-11-27T04:31:07.914Z] Processing collaborative filtering recommendation request 
[2025-11-27T04:31:07.917Z] 🚀 Pure collaborative filtering started 
[2025-11-27T04:31:07.917Z] 📥 Input movie slugs: [
  "little-women-2019",
  "pride-prejudice"
]
[2025-11-27T04:31:07.918Z] ⚙️ Config: {
  "numRecommendations": 5,
  "likedBothMoviesBoost": 3,
  "favoritedInputMovieBoost": 5,
  "combinedBoost": 8,
  "favoriteWeight": 2,
  "obscurityBias": 1,
  "minInteractionsThreshold": 2
}
[2025-11-27T04:31:07.918Z] INFO: 👥 STEP 1: Finding users who interacted with input movies 
[2025-11-27T04:31:07.925Z] 🚀 Pure collaborative filtering started 
[2025-11-27T04:31:07.926Z] 📥 Input movie slugs: [
  "little-women-2019",
  "pride-prejudice"
]
[2025-11-27T04:31:07.926Z] ⚙️ Config: {
  "numRecommendations": 5,
  "likedBothMoviesBoost": 3,
  "favoritedInputMovieBoost": 5,
  "combinedBoost": 8,
  "favoriteWeight": 2,
  "obscurityBias": 1,
  "minInteractionsThreshold": 2
}
[2025-11-27T04:31:07.926Z] INFO: 👥 STEP 1: Finding users who interacted with input movies 
[2025-11-27T04:31:08.341Z] INFO: 👍 200 users liked little-women-2019 
[2025-11-27T04:31:08.347Z] INFO: 👍 200 users liked little-women-2019 
[2025-11-27T04:31:08.413Z] INFO: 👍 200 users liked pride-prejudice 
[2025-11-27T04:31:08.419Z] INFO: 👍 200 users liked pride-prejudice 
[2025-11-27T04:31:08.492Z] INFO: ⭐ 200 users favorited little-women-2019 
[2025-11-27T04:31:08.494Z] INFO: ⭐ 200 users favorited little-women-2019 
[2025-11-27T04:31:08.562Z] INFO: ⭐ 200 users favorited pride-prejudice 
[2025-11-27T04:31:08.562Z] INFO: 👥 Total users who interacted: 739 
[2025-11-27T04:31:08.562Z] INFO: 📊 STEP 2: Calculating user affinity scores 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 1043: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 1048: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 1098: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 118055: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 123353: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 10999189: Favorited 2 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 119730816: Favorited 1 inputs -> 5x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 _krisss_: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 aibmoon: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 andylalatralala: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 aninhaswater: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 annaaandrade: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 apuff17: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 blueilay: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 buseuz: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 catiiiiiiiiii: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 ciuuz: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 devikapm: Liked 2 inputs -> 3x boost 
[2025-11-27T04:31:08.563Z] DEBUG: 👤 dziocl: Liked 2 inputs -> 3x boost 
